"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"16/08/2016","9","11","20","24","27","36","44","10","31"
"09/08/2016","2","11","13","18","26","33","41","6","34"
"02/08/2016","1","7","8","27","31","33","45","2","41"
"26/07/2016","1","4","11","22","30","31","38","25","26"
"19/07/2016","4","7","22","32","34","41","45","23","36"
"12/07/2016","1","11","19","24","28","29","39","37","38"
"05/07/2016","2","9","14","31","37","41","43","1","17"
"28/06/2016","11","13","16","19","24","32","44","26","38"
"21/06/2016","2","5","16","28","36","42","44","22","25"
"14/06/2016","18","20","22","25","29","44","45","36","40"
"07/06/2016","6","8","14","16","22","29","34","19","38"
"31/05/2016","6","9","15","21","23","33","44","1","29"
"24/05/2016","4","5","11","22","25","32","38","20","40"
"17/05/2016","5","10","18","21","24","42","44","3","35"
"10/05/2016","20","21","22","26","27","36","44","25","32"
"03/05/2016","9","11","18","20","30","33","42","2","27"
"26/04/2016","1","5","6","15","19","41","45","3","20"
"19/04/2016","5","22","25","29","33","40","42","21","39"
"12/04/2016","18","23","31","35","39","42","43","5","37"
"05/04/2016","2","3","15","17","28","37","44","4","18"
"29/03/2016","3","9","12","26","33","38","39","23","44"
"22/03/2016","1","9","17","19","32","37","38","22","41"
"15/03/2016","2","8","12","13","32","37","38","11","23"
"08/03/2016","1","9","21","24","35","44","45","6","10"
"01/03/2016","3","5","20","27","30","32","41","15","40"
"23/02/2016","1","5","18","21","22","36","39","7","38"
"16/02/2016","13","15","22","28","33","37","45","21","27"
"09/02/2016","6","11","22","30","35","37","40","9","16"
"02/02/2016","2","5","7","9","19","22","44","28","36"
"26/01/2016","5","13","23","24","26","35","41","9","34"
"19/01/2016","1","10","12","13","25","31","34","15","38"
"12/01/2016","9","10","17","24","34","35","43","8","33"
"05/01/2016","18","19","25","31","33","37","43","13","34"
"29/12/2015","4","9","16","28","35","37","43","3","20"
"22/12/2015","10","20","26","27","29","34","44","2","19"
"15/12/2015","4","6","8","20","33","37","44","1","2"
"08/12/2015","8","11","14","19","30","36","40","5","16"
"01/12/2015","5","7","8","13","14","15","29","27","28"
"24/11/2015","1","9","12","22","24","25","30","6","39"
"17/11/2015","5","16","19","26","29","32","39","1","4"
"10/11/2015","20","22","23","25","33","34","36","13","21"
"03/11/2015","5","19","30","31","32","37","40","24","44"
"27/10/2015","3","5","10","11","18","30","44","31","42"
"20/10/2015","9","10","11","21","35","43","45","40","41"
"13/10/2015","28","29","32","34","36","37","41","9","30"
